Time_Random Time_Random_Adjust Space_Random Result Performance_Result Line_Number
0.0762 0.0691 0.1656 SUCCES PFAIL mg.f:679
0.5595 0.5049 0.0464 SUCCES PFAIL mg.f:679
0.3663 0.3313 0.6410 SUCCES PFAIL mg.f:667
0.8443 0.7627 0.5176 SUCCES PFAIL mg.f:679
0.6555 0.5931 0.1167 SUCCES PFAIL mg.f:679
0.1367 0.1236 0.9967 SUCCES PFAIL mg.f:595
0.9398 0.8486 0.5884 SUCCES PFAIL mg.f:604
0.6572 0.5956 0.0406 SUCCES PFAIL mg.f:679
0.2282 0.2067 0.5640 SUCCES PFAIL mg.f:667
0.2088 0.1886 0.9418 SUCCES PFAIL mg.f:604
0.0179 0.0163 0.5378 SUCCES PFAIL mg.f:667
0.7382 0.6674 0.4922 SUCCES PFAIL mg.f:665
0.8042 0.7274 0.0117 SUCCES PFAIL mg.f:665
0.7885 0.7115 0.8936 SUCCES PFAIL mg.f:597
0.0883 0.0798 0.9816 SUCCES PFAIL mg.f:755
0.3104 0.2800 0.4370 SUCCES PFAIL mg.f:1066
0.5308 0.4813 0.3905 SUCCES PFAIL mg.f:597
0.3408 0.3078 0.4896 SUCCES PFAIL mg.f:667
0.5560 0.4992 0.4389 SUCCES PFAIL mg.f:665
0.2778 0.2508 0.8938 SUCCES PFAIL mg.f:595
0.5851 0.5299 0.4908 SUCCES PFAIL mg.f:667
0.5635 0.5091 0.8662 SUCCES PFAIL mg.f:564
0.3713 0.3363 0.4618 SUCCES PFAIL mg.f:665
0.3521 0.3179 0.8404 SUCCES PFAIL mg.f:604
0.6555 0.5931 0.4317 SUCCES PFAIL mg.f:667
0.1396 0.1262 0.8144 SUCCES PFAIL mg.f:1060
0.9459 0.8562 0.9090 SUCCES PFAIL mg.f:665
0.4283 0.3871 0.2889 SUCCES PFAIL mg.f:604
0.7317 0.6632 0.8810 SUCCES PFAIL mg.f:663
0.7087 0.6396 0.2564 SUCCES PFAIL mg.f:595
0.9326 0.8409 0.2147 SUCCES PFAIL mg.f:604
0.2390 0.2158 0.8097 SUCCES PFAIL mg.f:840
0.4598 0.4151 0.7630 SUCCES PFAIL mg.f:665
0.6837 0.6175 0.2208 SUCCES PFAIL mg.f:838
0.9902 0.8941 0.8154 SUCCES PFAIL mg.f:667
0.7940 0.7201 0.4077 SUCCES PFAIL mg.f:604
0.0120 0.0111 0.8595 SUCCES PFAIL mg.f:770
0.3283 0.2946 0.9631 SUCCES PFAIL mg.f:679
0.0429 0.0390 0.4121 SUCCES PFAIL mg.f:667
0.8489 0.7665 0.5072 SUCCES PFAIL mg.f:667
0.5680 0.5137 0.9596 SUCCES PFAIL mg.f:604
0.8689 0.7845 0.5498 SUCCES PFAIL mg.f:597
0.5959 0.5399 0.0083 SUCCES PFAIL mg.f:763
0.3108 0.2802 0.4585 SUCCES PFAIL mg.f:597
0.5338 0.4839 0.9151 SUCCES PFAIL mg.f:858
0.3422 0.3094 0.5114 SUCCES PFAIL mg.f:597
0.6473 0.5870 0.6068 SUCCES PFAIL mg.f:597
0.4559 0.4097 0.7030 SUCCES PFAIL mg.f:770
0.6777 0.6081 0.6570 SUCCES PFAIL mg.f:850
0.8941 0.8069 0.1081 SUCCES PFAIL mg.f:770
0.1163 0.1052 0.0638 SUCCES PFAIL mg.f:679
0.9229 0.8325 0.1599 SUCCES PFAIL mg.f:665
0.1435 0.1306 0.6139 SUCCES PFAIL mg.f:663
0.2062 0.1864 0.1297 SUCCES PFAIL mg.f:604
0.4266 0.3853 0.5817 SUCCES PFAIL mg.f:604
0.7392 0.6691 0.1836 SUCCES PFAIL mg.f:667
0.2197 0.1989 0.0614 SUCCES PFAIL mg.f:667
0.6968 0.6282 0.4381 SUCCES PFAIL mg.f:667
0.0089 0.0082 0.5360 SUCCES PFAIL mg.f:770
0.2229 0.2018 0.4849 SUCCES PFAIL mg.f:679
0.7896 0.7132 0.0042 SUCCES PFAIL mg.f:604
0.5101 0.4614 0.4571 SUCCES PFAIL mg.f:679
0.0788 0.0715 0.9799 SUCCES PFAIL mg.f:667
0.5632 0.5084 0.8614 SUCCES PFAIL mg.f:604
0.8688 0.7848 0.9573 SUCCES PFAIL mg.f:604
0.5893 0.5355 0.4098 SUCCES PFAIL mg.f:667
0.6579 0.5951 0.9315 SUCCES PFAIL mg.f:665
0.2224 0.2015 0.9490 SUCCES PFAIL mg.f:665
0.7044 0.6356 0.8271 SUCCES PFAIL mg.f:667
0.5075 0.4598 0.4183 SUCCES PFAIL mg.f:667
0.9947 0.8977 0.8029 SUCCES PFAIL mg.f:679
0.2087 0.1886 0.7508 SUCCES PFAIL mg.f:597
0.5167 0.4675 0.8481 SUCCES PFAIL mg.f:679
0.9936 0.8963 0.7238 SUCCES PFAIL mg.f:667
0.3025 0.2742 0.8205 SUCCES PFAIL mg.f:667
0.7847 0.7082 0.2006 SUCCES PFAIL mg.f:604
0.0910 0.0823 0.7946 SUCCES PFAIL mg.f:1421
0.3118 0.2819 0.2493 SUCCES PFAIL mg.f:795
0.6168 0.5571 0.8431 SUCCES PFAIL mg.f:663
0.8375 0.7556 0.7977 SUCCES PFAIL mg.f:679
0.6424 0.5804 0.8905 SUCCES PFAIL mg.f:604
0.3627 0.3282 0.3449 SUCCES PFAIL mg.f:679
0.4301 0.3882 0.3649 SUCCES PFAIL mg.f:604
0.1565 0.1417 0.8247 SUCCES PFAIL mg.f:679
0.7184 0.6489 0.3407 SUCCES PFAIL mg.f:597
0.4440 0.4021 0.2975 SUCCES PFAIL mg.f:667
0.0046 0.0043 0.3130 SUCCES PFAIL mg.f:770
0.2280 0.2069 0.7693 SUCCES PFAIL mg.f:757
0.0406 0.0369 0.3693 SUCCES PFAIL mg.f:667
0.3432 0.3095 0.4605 SUCCES PFAIL mg.f:604
0.5607 0.5060 0.9124 SUCCES PFAIL mg.f:667
0.7762 0.7007 0.8629 SUCCES PFAIL mg.f:679
0.5892 0.5327 0.4613 SUCCES PFAIL mg.f:667
0.0673 0.0609 0.3393 SUCCES PFAIL mg.f:667
0.1345 0.1216 0.8595 SUCCES PFAIL mg.f:597
0.3560 0.3222 0.3153 SUCCES PFAIL mg.f:604
0.1613 0.1459 0.4071 SUCCES PFAIL mg.f:770
0.3826 0.3456 0.8643 SUCCES PFAIL mg.f:757
0.1887 0.1695 0.9567 SUCCES PFAIL mg.f:665
0.9091 0.8203 0.9101 SUCCES PFAIL mg.f:667
0.1356 0.1224 0.3701 SUCCES PFAIL mg.f:604
0.3557 0.3212 0.8239 SUCCES PFAIL mg.f:604
0.1545 0.1395 0.4122 SUCCES PFAIL mg.f:770
0.8793 0.7989 0.8704 SUCCES PFAIL mg.f:679
0.4465 0.4040 0.3907 SUCCES PFAIL mg.f:667
0.9228 0.8330 0.7635 SUCCES PFAIL mg.f:679
0.2349 0.2108 0.8654 SUCCES PFAIL mg.f:752
0.9497 0.8594 0.3123 SUCCES PFAIL mg.f:679
0.9331 0.8420 0.6945 SUCCES PFAIL mg.f:604
0.2384 0.2154 0.2864 SUCCES PFAIL mg.f:597
0.9566 0.8651 0.7398 SUCCES PFAIL mg.f:679
0.0288 0.0262 0.2640 SUCCES PFAIL mg.f:856
0.7445 0.6733 0.2158 SUCCES PFAIL mg.f:679
0.3158 0.2853 0.2383 SUCCES PFAIL mg.f:593
0.0297 0.0270 0.1866 SUCCES PFAIL mg.f:667
0.8370 0.7546 0.2814 SUCCES PFAIL mg.f:679
0.5628 0.5053 0.2393 SUCCES PFAIL mg.f:595
0.7808 0.7054 0.1922 SUCCES PFAIL mg.f:604
0.5847 0.5294 0.2854 SUCCES PFAIL mg.f:679
0.0683 0.0619 0.1657 SUCCES PFAIL mg.f:665
0.6408 0.5750 0.1918 SUCCES PFAIL mg.f:604
0.3544 0.3200 0.6401 SUCCES PFAIL mg.f:604
0.0752 0.0682 0.0952 SUCCES PFAIL mg.f:667
0.1434 0.1299 0.6148 SUCCES PFAIL mg.f:679
0.6165 0.5570 0.9858 SUCCES PFAIL mg.f:679
0.4300 0.3885 0.0850 SUCCES PFAIL mg.f:604
0.1524 0.1382 0.5405 SUCCES PFAIL mg.f:679
0.6316 0.5699 0.9195 SUCCES PFAIL mg.f:665
0.4380 0.3956 0.0153 SUCCES PFAIL mg.f:679
0.9198 0.8305 0.8941 SUCCES PFAIL mg.f:665
0.2257 0.2041 0.9895 SUCCES PFAIL mg.f:679
0.7057 0.6375 0.8669 SUCCES PFAIL mg.f:665
0.5142 0.4654 0.4641 SUCCES PFAIL mg.f:665
0.9942 0.8976 0.8416 SUCCES PFAIL mg.f:679
0.2972 0.2691 0.4329 SUCCES PFAIL mg.f:679
0.7833 0.7080 0.3164 SUCCES PFAIL mg.f:595
0.5863 0.5307 0.9090 SUCCES PFAIL mg.f:679
0.0644 0.0583 0.7833 SUCCES PFAIL mg.f:597
